,translation
151,"{'en': 'who has tom cruise been married to?', 'sparql': 'select distinct ?uri where [ ?uri dbo:spouse <res:Tom_Cruise> ]'}"
152,"{'en': 'which weapons did heckler & koch develop?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Weapon ; <dbpedia2:designer> <res:Heckler_&_Koch> ]'}"
153,"{'en': 'what is the smallest city by area in germany?', 'sparql': 'select ?city where [ ?m skos:broader dbc:Cities_in_Germany . ?city dct:subject ?m ; dbo:areaTotal ?area ] order BY ?area limit 1'}"
154,"{'en': 'what is the ruling party in lisbon?', 'sparql': 'select distinct ?uri where [ <res:Lisbon> dbp:leaderParty ?uri ]'}"
155,"{'en': ""how heavy is jupiter's lightest moon?"", 'sparql': 'select distinct ?n where [ ?uri <dbpedia2:satelliteOf> <res:Jupiter> ; dbo:mass ?n ] order BY ASC(?n) OFFSET 0 limit 1'}"
156,"{'en': 'how many employees does ibm have?', 'sparql': 'select distinct ?number where [ <res:IBM> dbo:numberOfEmployees ?number ]'}"
157,"{'en': 'list all episodes of the first season of the hbo television series the sopranos!', 'sparql': 'select distinct ?uri where [ ?uri dbo:series dbr:The_Sopranos ; dbo:seasonNumber 1 ]'}"
158,"{'en': 'what does icro stand for?', 'sparql': 'select distinct ?uri where [ ?uri dbo:abbreviation ""ICRO"" ]'}"
159,"{'en': 'does the new battlestar galactica series have more episodes than the old one?', 'sparql': 'ask where [ dbr:Battlestar_Galactica_%281978_TV_series%29 dbo:numberOfEpisodes ?x . dbr:Battlestar_Galactica_%282004_TV_series%29> dbo:numberOfEpisodes ?y filter ( ?y > ?x ) ]'}"
160,"{'en': 'give me all films produced by hal roach.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Film ; dbo:producer> <res:Hal_Roach> ]'}"
161,"{'en': 'who played agent smith in matrix?', 'sparql': 'select distinct ?uri where [ dbr:Agent_Smith dbo:portrayer ?uri ]'}"
162,"{'en': 'which greek parties are pro-european?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:PoliticalParty ; dbo:country> <res:Greece> ; dbo:ideology> <res:Pro-Europeanism> ]'}"
163,"{'en': 'give me a list of all bandleaders that play trumpet.', 'sparql': 'select distinct ?uri where [ ?uri dbo:occupation <res:Bandleader> ; dbo:instrument> <res:Trumpet> ]'}"
164,"{'en': 'what is the second highest mountain on earth?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Mountain ; dbo:elevation> ?elevation ] order BY DESC(?elevation) OFFSET 1 limit 1'}"
165,"{'en': 'is egypts largest city also its capital?', 'sparql': 'ask where [ <res:Egypt> dbo:largestCity ?large ; dbo:capital> ?capital filter ( ?large = ?capital ) ]'}"
166,"{'en': 'which rockets were launched from baikonur?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Rocket ; dbo:launchSite> <res:Baikonur_Cosmodrome> ]'}"
167,"{'en': 'how many programming languages are there?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ ?uri a dbo:ProgrammingLanguage ]'}"
168,"{'en': 'which chess players died in the same place they were born in?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:ChessPlayer ; dbo:birthPlace> ?x ; dbo:deathPlace> ?y filter ( ?x = ?y ) ]'}"
169,"{'en': 'who is the owner of facebook?', 'sparql': 'select distinct ?uri where [ <res:Facebook> dbo:foundedBy ?uri ]'}"
170,"{'en': 'give me all movies with tom cruise.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Film ; dbo:starring> <res:Tom_Cruise> ]'}"
171,"{'en': 'in which u.s. state is fort knox located?', 'sparql': 'select distinct ?uri where [ dbr:Fort_Knox dbo:location ?uri . ?uri dbo:country dbr:United_States ]'}"
172,"{'en': 'give me all cities in new jersey with more than 100000 inhabitants.', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:City ; dbo:isPartOf dbr:New_Jersey ; dbo:populationTotal ?inhabitants filter ( ?inhabitants > 100000 ) ]'}"
173,"{'en': 'which mountains are higher than the nanga parbat?', 'sparql': 'select distinct ?uri where [ <res:Nanga_Parbat> dbo:elevation ?elevation . ?uri a dbo:Mountain> [ ?uri dbo:elevation> ?otherelevation ] UNION [ ?uri <dbpedia2:elevationM> ?otherelevation ] filter ( ?otherelevation > ?elevation ) ]'}"
174,"{'en': 'give me all b-sides of the ramones.', 'sparql': 'select distinct ?string where [ ?x dbo:musicalArtist <res:Ramones> ; dbo:bSide> ?string ]'}"
175,"{'en': 'what are the specialities of the unc health care?', 'sparql': 'select distinct ?uri where [ <res:UNC_Health_Care> dbp:speciality ?uri ]'}"
176,"{'en': 'when was olof palme shot?', 'sparql': 'select distinct ?date where [ <res:Olof_Palme> dbo:deathDate ?date ]'}"
177,"{'en': 'list the seven kings of rome.', 'sparql': 'select distinct ?uri where [ ?uri dbp:title <res:King_of_Rome> ]'}"
178,"{'en': 'give me all people that were born in vienna and died in berlin.', 'sparql': 'select distinct ?uri where [ ?uri dbo:birthPlace <res:Vienna> ; dbo:deathPlace> <res:Berlin> ]'}"
179,"{'en': 'is darth vader luke’s father?', 'sparql': 'ask where [ <res:Darth_Vader> dbo:child <res:Luke_Skywalker> ]'}"
180,"{'en': 'show me all the breweries in australia.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Brewery [ ?uri dbo:location> <res:Australia> ] UNION [ ?uri dbo:location> ?x . ?x dbo:country> <res:Australia> ] ]'}"
181,"{'en': 'give me all films produced by steven spielberg with a budget of at least $80 million.', 'sparql': 'select distinct ?uri where [ ?uri rdf:type <onto:Film> . ?uri <onto:director> <res:Steven_Spielberg> . ?uri <onto:budget> ?b . filter( xsd:double(?b) >= 8.0E7 ) ]'}"
182,"{'en': 'give me all soccer clubs in spain.', 'sparql': 'select distinct ?uri where [ ?uri a dbo:SoccerClub [ ?uri dbo:ground> <res:Spain> ] UNION [ ?uri <dbpedia2:ground> ?ground filter regex(?ground, ""Spain"") ] ]'}"
183,"{'en': 'who produced films starring natalie portman?', 'sparql': 'select distinct ?uri where [ ?film a dbo:Film ; dbo:starring> <res:Natalie_Portman> ; dbo:producer> ?uri ]'}"
184,"{'en': 'give me all breeds of the german shepherd dog.', 'sparql': 'select distinct ?uri where [ ?uri dbp:breed <res:German_Shepherd> ]'}"
185,"{'en': 'who is the heaviest player of the chicago bulls?', 'sparql': 'select distinct ?uri where [ ?uri a dbo:Person ; dbo:weight> ?num [ ?uri <dbpedia2:team> <res:Chicago_Bulls> ] UNION [ ?uri <dbpedia2:draftTeam> <res:Chicago_Bulls> ] UNION [ ?uri dbo:draftTeam> <res:Chicago_Bulls> ] ] order BY DESC(?num) OFFSET 0 limit 1'}"
186,"{'en': 'which languages are spoken in estonia?', 'sparql': 'select distinct ?uri where [ ?uri dbo:spokenIn <res:Estonia> ]'}"
187,"{'en': 'what is the largest country in the world?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Country ; dbo:areaTotal ?n ] order BY DESC(?n) OFFSET 0 limit 1'}"
188,"{'en': 'what is the largest city in america?', 'sparql': 'select ?lcity where [ dbr:United_States dbo:largestCity ?lcity ]'}"
189,"{'en': 'who was the pope that founded the vatican television?', 'sparql': 'select ?uri where [ ?uri rdf:type dbo:Pope . dbr:Vatican_Television_Center dbo:foundedBy ?uri ]'}"
190,"{'en': 'who discovered ceres?', 'sparql': 'select distinct ?uri where [ dbr:Ceres_(dwarf_planet) dbo:discoverer ?uri ]'}"
191,"{'en': 'who is the king of the netherlands?', 'sparql': 'select distinct ?uri where [ dbr:Netherlands dbo:leader ?uri . ?uri rdf:type dbo:Royalty ]'}"
192,"{'en': 'is cola a beverage?', 'sparql': 'ask where [ dbr:Cola rdf:type dbo:Beverage ]'}"
193,"{'en': 'what is the alma mater of the chancellor of germany angela merkel?', 'sparql': 'select ?Almamater where [ dbr:Angela_Merkel dbo:almaMater ?Almamater ]'}"
194,"{'en': 'who wrote the book les piliers de la terre?', 'sparql': 'select distinct ?uri where [ dbr:The_Pillars_of_the_Earth dbo:author ?uri ]'}"
195,"{'en': 'which airports does yeti airlines serve?', 'sparql': 'select distinct ?uri where [ dbr:Yeti_Airlines dbo:targetAirport ?uri ]'}"
196,"{'en': 'where is the birthplace of goethe?', 'sparql': 'select ?Goethe where [ dbr:Johann_Wolfgang_von_Goethe dbo:birthPlace ?Goethe ]'}"
197,"{'en': 'was the cuban missile crisis earlier than the bay of pigs invasion?', 'sparql': 'ask where [ dbr:Cuban_Missile_Crisis dbo:date ?x . dbr:Bay_of_Pigs_Invasion dbo:date ?y filter ( ?x < ?y ) ]'}"
198,"{'en': 'which ingredients do i need for carrot cake?', 'sparql': 'select distinct ?uri where [ dbr:Carrot_cake dbo:ingredient ?uri ]'}"
199,"{'en': 'who created wikipedia?', 'sparql': 'select distinct ?uri where [ dbr:Wikipedia dbo:author ?uri ]'}"
200,"{'en': 'what is the highest mountain in saxony germany?', 'sparql': 'select ?m where [ ?m dbo:mountainRange dbr:Ore_Mountains ; dbo:elevation ?height ] order BY DESC(?height) limit 1'}"
201,"{'en': 'who is the current federal minister of finance in germany?', 'sparql': 'select ?leader where [ dbr:Federal_Ministry_of_Finance_(Germany) dbo:leader ?leader ]'}"
202,"{'en': 'in which country is mecca located?', 'sparql': 'select distinct ?uri where [ dbr:Mecca dbo:country ?uri ]'}"
203,"{'en': 'who played gus fring in breaking bad?', 'sparql': 'select distinct ?uri where [ dbr:Gus_Fring dbo:portrayer ?uri ]'}"
204,"{'en': 'in which country does the nile start?', 'sparql': 'select distinct ?uri where [ dbr:Nile dbo:sourceCountry ?uri ]'}"
205,"{'en': 'in which state penn state university is located?', 'sparql': 'select ?s where [ dbr:Pennsylvania_State_University dbo:state ?s ]'}"
206,"{'en': 'what is the biggest stadium in spain?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Stadium ; dbo:location dbr:Spain ; dbo:seatingCapacity ?n ] order BY DESC(?n) OFFSET 0 limit 1'}"
207,"{'en': ""who is the coach of ankara's ice hockey team?"", 'sparql': 'select distinct ?uri where [ ?x dbo:city dbr:Ankara ; dbo:league dbr:Turkish_Ice_Hockey_First_League ; dbo:coach ?uri ]'}"
208,"{'en': 'how large is the area of uk?', 'sparql': 'select ?area where [ dbr:United_Kingdom dbo:areaTotal ?area ]'}"
209,"{'en': 'who created batman?', 'sparql': 'select distinct ?uri where [ dbr:Batman dbo:creator ?uri ]'}"
210,"{'en': 'was sigmund freud married?', 'sparql': 'ask where [ dbr:Sigmund_Freud dbo:spouse ?uri ]'}"
211,"{'en': 'who are the developers of dbpedia?', 'sparql': 'select distinct ?uri where [ dbr:DBpedia dbo:developer ?uri ]'}"
212,"{'en': 'give me all movies directed by francis ford coppola.', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Film ; dbo:director dbr:Francis_Ford_Coppola ]'}"
213,"{'en': 'are tree frogs a type of amphibian?', 'sparql': 'ask where [ dbr:Hylidae dbo:class dbr:Amphibian ]'}"
214,"{'en': 'what is the location of the houses of parliament?', 'sparql': 'select ?uri where [ dbr:Palace_of_Westminster dbo:location ?uri ]'}"
215,"{'en': 'how much is the elevation of düsseldorf airport ?', 'sparql': 'select ?ele where [ dbr:Düsseldorf_Airport dbo:elevation ?ele ] limit 1'}"
216,"{'en': 'how much is the population of mexico city ?', 'sparql': 'select ?Mexico_City where [ dbr:Mexico_City dbo:populationTotal ?Mexico_City ]'}"
217,"{'en': 'when was the founding date of french fifth republic?', 'sparql': 'select ?ff where [ dbr:French_Fifth_Republic dbo:foundingDate ?ff ]'}"
218,"{'en': 'who was the first king of england?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Royalty ; rdf:type yago:WikicatEnglishMonarchs ; dbo:activeYearsStartYear ?date ] order BY ASC(?date) OFFSET 0 limit 1'}"
219,"{'en': 'who is the editor of forbes?', 'sparql': 'select distinct ?uri where [ dbr:Forbes dbo:editor ?uri ]'}"
220,"{'en': 'which awards did douglas hofstadter win?', 'sparql': 'select distinct ?uri where [ dbr:Douglas_Hofstadter dbo:award ?uri ]'}"
221,"{'en': 'who is the youngest darts player?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:DartsPlayer ; dbo:birthDate ?date ] order BY DESC(?date) OFFSET 0 limit 1'}"
222,"{'en': 'is horse racing a sport?', 'sparql': 'ask where [ dbr:Horse_racing rdf:type dbo:Sport ]'}"
223,"{'en': 'which river does the brooklyn bridge cross?', 'sparql': 'select distinct ?uri where [ dbr:Brooklyn_Bridge dbo:crosses ?uri ]'}"
224,"{'en': 'how many people live in poland?', 'sparql': 'select distinct ?uri where [ dbr:Poland dbo:populationTotal ?uri ]'}"
225,"{'en': 'when was the last episode of the tv series friends aired?', 'sparql': 'select ?date where [ dbr:Friends dbo:completionDate ?date ]'}"
226,"{'en': 'is the wife of president obama called michelle?', 'sparql': 'ask where [ dbr:Barack_Obama dbo:spouse ?spouse . ?spouse rdfs:label ?name filter regex(?name, ""Michelle"") ]'}"
227,"{'en': 'who is 8th president of us?', 'sparql': 'select ?name where [ dbr:8th_President_of_the_United_States dbo:wikiPageRedirects ?link . ?link dbp:name ?name ]'}"
228,"{'en': 'how much is the total population of  european union?', 'sparql': 'select ?europop where [ dbr:European_Union dbo:populationTotal ?europop ]'}"
229,"{'en': 'give me all launch pads operated by nasa.', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:LaunchPad ; dbo:operator dbr:NASA ]'}"
230,"{'en': 'who developed the video game world of warcraft?', 'sparql': 'select distinct ?uri where [ dbr:World_of_Warcraft dbo:developer ?uri ]'}"
231,"{'en': 'what is the birth name of adele?', 'sparql': 'select ?bn where [ dbr:Adele dbo:birthName ?bn ]'}"
232,"{'en': 'what is the population of cairo?', 'sparql': 'select ?pop where [ dbr:Cairo dbo:populationTotal ?pop ]'}"
233,"{'en': 'is frank herbert still alive?', 'sparql': 'ask where [ OPTIONAL [ dbr:Frank_Herbert dbo:deathDate ?date ] filter ( ! bound(?date) ) ]'}"
234,"{'en': 'what is the last work of dan brown?', 'sparql': 'select ?book where [ [ ?book dbo:author dbr:Dan_Brown . ?book dbp:releaseDate ?date ] UNION [ ?book dbo:author dbr:Dan_Brown . ?book dbo:publicationDate ?date] ] order BY DESC(xsd:date(?date)) limit 1'}"
235,"{'en': 'where is sungkyunkwan university?', 'sparql': 'select distinct ?country where [ dbr:Sungkyunkwan_University dbo:city ?city ; dbo:country ?country ]'}"
236,"{'en': 'who is the author of the interpretation of dreams?', 'sparql': 'select ?Author where [ dbr:The_Interpretation_of_Dreams dbo:author ?Author ]'}"
237,"{'en': 'when was the death  of  shakespeare?', 'sparql': 'select ?x where [ dbr:William_Shakespeare dbo:deathDate ?x ] limit 1'}"
238,"{'en': 'who developed slack?', 'sparql': 'select distinct ?uri where [ ?uri dbo:product dbr:Slack_(software) ]'}"
239,"{'en': 'where is the origin of carolina reaper?', 'sparql': 'select ?uri where [ dbr:Carolina_Reaper dbo:origin ?uri]'}"
240,"{'en': 'in which year was rachel stevens born?', 'sparql': 'select distinct ?uri where [ dbr:Rachel_Stevens dbo:birthYear ?uri ]'}"
241,"{'en': 'how often did jane fonda marry?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ dbr:Jane_Fonda dbo:spouse ?uri ]'}"
242,"{'en': 'was the wife of president lincoln called mary?', 'sparql': 'ask where [ dbr:Abraham_Lincoln dbo:spouse ?spouse . ?spouse rdfs:label ?name filter regex(?name, ""Mary"") ]'}"
243,"{'en': 'which cities does the weser flow through?', 'sparql': 'select distinct ?uri where [ dbr:Weser dbo:city ?uri ]'}"
244,"{'en': 'in which programming language is gimp written?', 'sparql': 'select distinct ?uri where [ dbr:GIMP dbo:programmingLanguage ?uri ]'}"
245,"{'en': 'which university did angela merkel attend?', 'sparql': 'select distinct ?university where [ dbr:Angela_Merkel dbo:almaMater ?university ]'}"
246,"{'en': 'list all the musicals with music by elton john.', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Musical ; dbo:musicBy dbr:Elton_John ]'}"
247,"{'en': 'how many aldi stores are there?', 'sparql': 'select distinct ?number where [ dbr:Aldi dbo:numberOfLocations ?number ]'}"
248,"{'en': 'what is the longest river in the world?', 'sparql': 'select ?uri where [ ?uri rdf:type dbo:BodyOfWater ; dbo:length ?length ] order BY DESC(?length) limit 1'}"
249,"{'en': 'when was john adams born?', 'sparql': 'select distinct ?date where [ dbr:John_Adams dbo:birthDate ?date ]'}"
250,"{'en': 'which companies produce hovercrafts?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Company ; dbo:product dbr:Hovercraft ]'}"
251,"{'en': 'who was the wife of u.s. president lincoln?', 'sparql': 'select distinct ?uri where [ dbr:Abraham_Lincoln dbo:spouse ?uri ]'}"
252,"{'en': 'which species does an elephant belong?', 'sparql': 'select ?species where [ dbr:Elephant dbp:species ?species ]'}"
253,"{'en': 'how many people live in the capital of australia?', 'sparql': 'select distinct ?num where [ dbr:Australia dbo:capital ?x . ?x dbo:populationTotal ?num ]'}"
254,"{'en': 'in which ancient empire could you pay with cocoa beans?', 'sparql': 'select distinct ?uri where [ ?uri dbo:currency dbr:Cocoa_bean ]'}"
255,"{'en': 'how many theories did albert einstein come up with?', 'sparql': 'select (COUNT(?uri) AS ?count) where [ dbr:Albert_Einstein dbo:knownFor ?uri ]'}"
256,"{'en': ""who composed the soundtrack for cameron's titanic?"", 'sparql': 'select distinct ?uri where [ dbr:Titanic_(1997_film) dbo:musicComposer ?uri ]'}"
257,"{'en': 'give me the runtime of toy story.', 'sparql': 'select distinct ?runtime where [ dbr:Toy_Story dbo:runtime ?runtime ]'}"
258,"{'en': 'with how many countries iran has borders?', 'sparql': 'select ?border where [ dbr:Geography_of_Iran dbp:borders ?border ] limit 8'}"
259,"{'en': 'which electronics companies were founded in beijing?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Company ; dbo:industry dbr:Electronics ; dbo:foundationPlace dbr:Beijing ]'}"
260,"{'en': 'who was the successor of john f. kennedy?', 'sparql': 'select distinct ?uri where [ dbr:John_F._Kennedy dbo:successor ?uri ]'}"
261,"{'en': 'who is the mayor of paris?', 'sparql': 'select distinct ?uri where [ dbr:Paris dbo:mayor ?uri ]'}"
262,"{'en': 'did arnold schwarzenegger attend a university?', 'sparql': 'ask where [ dbr:Arnold_Schwarzenegger dbo:almaMater ?x . ?x rdf:type dbo:University ]'}"
263,"{'en': 'is james bond married?', 'sparql': 'ask where [ dbr:James_Bond dbo:spouse ?uri ]'}"
264,"{'en': 'does the isar flow into a lake?', 'sparql': 'ask where [ ?x dbo:inflow dbr:Isar ; rdf:type dbo:Lake ]'}"
265,"{'en': 'which indian company has the most employees?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Company ; dbo:location dbr:India ; dbo:numberOfEmployees ?n ] order BY DESC(?n) OFFSET 0 limit 1'}"
266,"{'en': ""who was john f. kennedy's vice president?"", 'sparql': 'select distinct ?uri where [ dbr:John_F._Kennedy dbo:vicePresident ?uri ]'}"
267,"{'en': 'which country does the creator of miffy come from?', 'sparql': 'select distinct ?uri where [ dbr:Miffy dbo:creator ?x . ?x dbo:nationality ?uri ]'}"
268,"{'en': 'in what city is the heineken brewery?', 'sparql': 'select distinct ?uri where [ dbr:Heineken dbo:manufacturer ?x . ?x dbo:locationCity ?uri ]'}"
269,"{'en': 'is barack obama a democrat?', 'sparql': 'ask where [ dbr:Barack_Obama dbo:party dbr:Democratic_Party_(United_States) ]'}"
270,"{'en': 'list the children of margaret thatcher.', 'sparql': 'select distinct ?uri where [ dbr:Margaret_Thatcher dbo:child ?uri ]'}"
271,"{'en': 'from which region is the melon de bourgogne?', 'sparql': 'select distinct ?uri where [ dbr:Melon_de_Bourgogne dbo:wineRegion ?uri ]'}"
272,"{'en': 'how big is the total area of north rhine- westphalia?', 'sparql': 'select ?tarea where [ dbr:North_Rhine-Westphalia dbo:areaTotal ?tarea ]'}"
273,"{'en': 'which city has the most inhabitants?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:City ; dbo:populationTotal ?pop ] order BY DESC(?pop) OFFSET 0 limit 1'}"
274,"{'en': ""what is donald trump's main business?"", 'sparql': 'select ?owner where [ ?owner dbo:owner dbr:Donald_Trump ]'}"
275,"{'en': 'when will start the final match of the football world cup 2018?', 'sparql': 'select ?Date where [ dbr:2018_FIFA_World_Cup dbp:date ?Date ] order BY DESC(?Date) limit 1'}"
276,"{'en': 'which films did stanley kubrick direct?', 'sparql': 'select distinct ?uri where [ ?uri dbo:director dbr:Stanley_Kubrick ]'}"
277,"{'en': 'how much is the population  iraq?', 'sparql': 'select ?pIraq where [ dbr:Iraq dbo:populationTotal ?pIraq ]'}"
278,"{'en': 'how many inhabitants does the largest city in canada have?', 'sparql': 'select distinct ?num where [ dbr:Canada dbo:largestCity ?city . ?city dbo:populationTotal ?num ]'}"
279,"{'en': 'who is the mayor of the capital of french polynesia?', 'sparql': 'select distinct ?uri where [ dbr:French_Polynesia dbo:capital ?x . ?x dbo:mayor ?uri ]'}"
280,"{'en': 'give me all actors starring in movies directed by william shatner.', 'sparql': 'select distinct ?uri where [ ?x dbo:director dbr:William_Shatner ; dbo:starring ?uri ]'}"
281,"{'en': 'how tall is claudia schiffer?', 'sparql': 'select distinct ?height where [ dbr:Claudia_Schiffer dbo:height ?height ]'}"
282,"{'en': 'how much is the population densty rank of germany?', 'sparql': 'select ?rank where [ dbr:Germany dbp:populationDensityRank ?rank ]'}"
283,"{'en': 'what is the highest mountain in italy?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Mountain ; dbo:locatedInArea dbr:Italy ; dbo:elevation ?num ] order BY DESC(?num) OFFSET 0 limit 1'}"
284,"{'en': 'list all games by gmt.', 'sparql': 'select distinct ?uri where [ ?uri dbo:publisher dbr:GMT_Games ]'}"
285,"{'en': 'what is the official language of suriname?', 'sparql': 'select distinct ?uri where [ dbr:Suriname dbo:officialLanguage ?uri ]'}"
286,"{'en': 'in which city did nikos kazantzakis die?', 'sparql': 'select distinct ?uri where [ dbr:Nikos_Kazantzakis dbo:deathPlace ?uri . ?uri rdf:type dbo:Town ]'}"
287,"{'en': 'what is in a chocolate chip cookie?', 'sparql': 'select distinct ?uri where [ dbr:Chocolate_chip_cookie dbo:ingredient ?uri ]'}"
288,"{'en': 'in which country is the limerick lake?', 'sparql': 'select distinct ?uri where [ dbr:Limerick_Lake dbo:country ?uri ]'}"
289,"{'en': 'give me all video games published by mean hamster software.', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:VideoGame ; dbo:publisher dbr:Mean_Hamster_Software ]'}"
290,"{'en': 'give me all members of prodigy.', 'sparql': 'select distinct ?uri where [ dbr:The_Prodigy dbo:bandMember ?uri ]'}"
291,"{'en': 'in which time zone is rome?', 'sparql': 'select distinct ?uri where [ dbr:Rome dbo:timeZone ?uri ]'}"
292,"{'en': 'how high is the lighthouse in colombo?', 'sparql': 'select distinct ?num where [ dbr:Colombo_Lighthouse dbo:height ?num ]'}"
293,"{'en': 'who are the writers of the wall album of pink floyd?', 'sparql': 'select ?writers where [ dbr:The_Wall dbp:writer ?writers ]'}"
294,"{'en': 'who is the mayor of rotterdam?', 'sparql': 'select distinct ?uri where [ dbr:Rotterdam dbo:leaderName ?uri ]'}"
295,"{'en': 'what is the largest city in australia?', 'sparql': 'select distinct ?uri where [ dbr:Australia dbo:largestCity ?uri ]'}"
296,"{'en': 'who was married to president chirac?', 'sparql': 'select distinct ?uri where [ dbr:Jacques_Chirac dbo:spouse ?uri ]'}"
297,"{'en': 'what form of government is found in south africa?', 'sparql': 'select ?uri where [ dbr:South_Africa dbo:governmentType ?uri ]'}"
298,"{'en': 'how high is the yokohama marine tower?', 'sparql': 'select distinct ?num where [ dbr:Yokohama_Marine_Tower dbo:height ?num ]'}"
299,"{'en': 'which holidays are celebrated around the world? test2', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:Holiday ]'}"
300,"{'en': 'who is the tallest basketball player?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:BasketballPlayer ; dbo:height ?num ] order BY DESC(?num) OFFSET 0 limit 1'}"
301,"{'en': 'how many languages are spoken in turkmenistan?', 'sparql': 'select (COUNT(distinct ?x) AS ?c) where [ dbr:Turkmenistan dbo:language ?x ]'}"
302,"{'en': 'did che guevara have children?', 'sparql': 'ask where [ dbr:Che_Guevara dbo:child ?uri ]'}"
303,"{'en': 'did kaurismäki ever win the grand prix at cannes?', 'sparql': 'ask where [ dbr:Aki_Kaurismäki dbo:award dbr:Grand_Prix_(Cannes_Film_Festival) ]'}"
304,"{'en': 'to which party does the mayor of paris belong?', 'sparql': 'select distinct ?uri where [ dbr:Paris dbo:mayor ?x . ?x dbo:party ?uri ]'}"
305,"{'en': 'who is the formula 1 race driver with the most races?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:FormulaOneRacer ; dbo:races ?x ] order BY DESC(?x) OFFSET 0 limit 1'}"
306,"{'en': 'what country is sitecore from?', 'sparql': 'select distinct ?uri where [ dbr:Sitecore dbo:foundationPlace ?uri ]'}"
307,"{'en': 'give me the birth place of frank sinatra.', 'sparql': 'select distinct ?place where [ dbr:Frank_Sinatra dbo:birthPlace ?place ]'}"
308,"{'en': 'is christian bale starring in velvet goldmine?', 'sparql': 'ask where [ dbr:Velvet_Goldmine dbo:starring dbr:Christian_Bale ]'}"
309,"{'en': 'who is the son of sonny and cher?', 'sparql': 'select distinct ?uri where [ ?uri dbo:parent dbr:Cher ; dbo:parent dbr:Sonny_Bono ]'}"
310,"{'en': 'how many ethnic groups live in slovenia?', 'sparql': 'select (COUNT(distinct ?uri) AS ?c) where [ dbr:Slovenia dbo:ethnicGroup ?uri ]'}"
311,"{'en': 'what is the capital of cameroon?', 'sparql': 'select distinct ?uri where [ dbr:Cameroon dbo:capital ?uri ]'}"
312,"{'en': 'was natalie portman born in the united states?', 'sparql': 'ask where [ dbr:Natalie_Portman dbo:birthPlace ?city . ?city dbo:country dbr:United_States ]'}"
313,"{'en': 'how many pages does war and peace have?', 'sparql': 'select distinct ?n where [ dbr:War_and_Peace dbo:numberOfPages ?n ]'}"
314,"{'en': 'who is the oldest child of meryl streep?', 'sparql': 'select distinct ?uri where [ dbr:Meryl_Streep dbo:child ?uri . ?uri dbo:birthDate ?d ] order BY ASC(?d) OFFSET 0 limit 1'}"
315,"{'en': 'which television shows were created by walt disney?', 'sparql': 'select distinct ?uri where [ ?uri rdf:type dbo:TelevisionShow ; dbo:creator dbr:Walt_Disney ]'}"
316,"{'en': 'what does iycm stand for?', 'sparql': 'select distinct ?uri where [ ?uri dbo:abbreviation ""IYCM"" ]'}"
317,"{'en': 'which types of grapes grow in oregon?', 'sparql': 'select distinct ?uri where [ dbr:Oregon_wine dbo:growingGrape ?uri ]'}"
318,"{'en': 'was u.s. president jackson involved in a war?', 'sparql': 'ask where [ dbr:Andrew_Jackson dbo:battle ?battle ]'}"
319,"{'en': 'when was the titanic completed?', 'sparql': 'select distinct ?date where [ dbr:RMS_Titanic dbo:completionDate ?date ]'}"
320,"{'en': 'did tesla win a nobel prize in physics?', 'sparql': 'ask where [ dbr:Nikola_Tesla dbo:award dbr:Nobel_Prize_in_Physics ]'}"
321,"{'en': 'how many states are in mexico?', 'sparql': 'select (COUNT(?uri) AS ?count) where [ ?uri dbo:type dbr:States_of_Mexico ]'}"
322,"{'en': 'which scientist is known for the manhattan project and the nobel peace prize?', 'sparql': 'select distinct ?uri where [ ?uri dbo:knownFor dbr:Manhattan_Project ; rdf:type dbo:Scientist ; dbo:knownFor dbr:Nobel_Peace_Prize ]'}"
323,"{'en': 'how much did the lego movie cost?', 'sparql': 'select distinct ?n where [ dbr:The_Lego_Movie dbo:budget ?n ]'}"
