id,question,answers,orig_query,sparql
64,Give me all soccer clubs in the Premier League.,http://dbpedia.org/resource/2012–13_Arsenal_F.C._season,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/SoccerClub> ; <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Premier_League> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:SoccerClub ; dbo:league> <http://dbpedia.org/resource/Premier_League> }
65,What is the highest place of the Urals?,http://dbpedia.org/resource/Mount_Narodnaya,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ural_Mountains> <http://dbpedia.org/property/highest> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ural_Mountains> dbp:highest ?uri }
66,Who is the governor of Wyoming?,http://dbpedia.org/resource/Matt_Mead,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wyoming> <http://dbpedia.org/property/governor> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wyoming> dbp:governor ?uri }
67,Where did the architect of the Eiffel Tower study?,http://dbpedia.org/resource/École_Spéciale_d'Architecture,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eiffel_Tower> <http://dbpedia.org/ontology/architect> ?x . ?x <http://dbpedia.org/property/almaMater> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eiffel_Tower> dbo:architect ?x . ?x <http://dbpedia.org/property/almaMater> ?uri }
68,Give me all world heritage sites designated within the past two years.,http://dbpedia.org/resource/Castle_of_Grinzane_Cavour,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WorldHeritageSite> . { ?uri <http://dbpedia.org/property/year> '2013'^^xsd:integer . } UNION { ?uri <http://dbpedia.org/property/year> '2014'^^xsd:integer . } },SELECT DISTINCT ?uri WHERE { ?uri rdf:type <http://dbpedia.org/ontology/WorldHeritageSite> . { ?uri <http://dbpedia.org/property/year> '2013'^^xsd:integer . } UNION { ?uri <http://dbpedia.org/property/year> '2014'^^xsd:integer . } }
69,Give me all actors who were born in Paris after 1950.,http://dbpedia.org/resource/Gaston_Dubosc,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) },SELECT DISTINCT ?uri WHERE { ?uri rdf:type <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) }
70,Which movies star both Liz Taylor and Richard Burton?,http://dbpedia.org/resource/The_Taming_of_the_Shrew_(1967_film),SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Elizabeth_Taylor> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Burton> },SELECT DISTINCT ?uri WHERE { ?uri dbo:starring <http://dbpedia.org/resource/Elizabeth_Taylor> ; dbo:starring> <http://dbpedia.org/resource/Richard_Burton> }
71,Give me all Australian nonprofit organizations.,http://dbpedia.org/resource/YourView,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization> { ?uri <http://dbpedia.org/ontology/locationCountry> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } },SELECT DISTINCT ?uri WHERE { ?uri dbo:type <http://dbpedia.org/resource/Nonprofit_organization> { ?uri dbo:locationCountry> <http://dbpedia.org/resource/Australia> } UNION { ?uri dbo:location> ?x . ?x dbo:country> <http://dbpedia.org/resource/Australia> } }
72,Which pope succeeded John Paul II?,http://dbpedia.org/resource/Pope_Benedict_XVI,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pope_John_Paul_II> <http://dbpedia.org/property/successor> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pope_John_Paul_II> dbp:successor ?uri }
73,Give me all ESA astronauts.,http://dbpedia.org/resource/Dirk_Frimout,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Astronaut> ; <http://dbpedia.org/property/type> <http://dbpedia.org/resource/European_Space_Agency> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Astronaut ; <http://dbpedia.org/property/type> <http://dbpedia.org/resource/European_Space_Agency> }
74,Who was president of Pakistan in 1978?,http://dbpedia.org/resource/Muhammad_Zia-ul-Haq,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/title> <http://dbpedia.org/resource/President_of_Pakistan> ; <http://dbpedia.org/property/years> 1978 },SELECT DISTINCT ?uri WHERE { ?uri dbp:title <http://dbpedia.org/resource/President_of_Pakistan> ; dbp:years> 1978 }
75,Who is the owner of Rolls-Royce?,http://dbpedia.org/resource/Vickers_plc,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rolls-Royce_Motors> <http://dbpedia.org/ontology/owner> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rolls-Royce_Motors> dbo:owner ?uri }
76,How many museums does Paris have?,http://dbpedia.org/resource/Musée_de_l'Homme,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Museum> ; <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Paris> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Museum ; dbo:location> <http://dbpedia.org/resource/Paris> }
77,Where was JFK assassinated?,http://dbpedia.org/resource/Parkland_Memorial_Hospital,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/deathPlace> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_F._Kennedy> dbo:deathPlace ?uri }
78,Give me all federal chancellors of Germany.,http://dbpedia.org/resource/Konrad_Adenauer,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> { ?uri <http://dbpedia.org/ontology/office> ""Chancellor of Germany"" } UNION { ?uri <http://dbpedia.org/property/office> <http://dbpedia.org/resource/Chancellor_of_Germany> } }","SELECT DISTINCT ?uri WHERE { ?uri a dbo:Person { ?uri dbo:office> ""Chancellor of Germany"" } UNION { ?uri <http://dbpedia.org/property/office> <http://dbpedia.org/resource/Chancellor_of_Germany> } }"
79,Show me everyone who was born on Halloween.,http://dbpedia.org/resource/Aaron_Osmond,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> { ?uri <http://dbpedia.org/ontology/birthDate> ?date } UNION { ?uri <http://dbpedia.org/property/birthDate> ?date } <http://dbpedia.org/resource/Halloween> <http://dbpedia.org/property/date> ?date },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Person { ?uri dbo:birthDate> ?date } UNION { ?uri <http://dbpedia.org/property/birthDate> ?date } <http://dbpedia.org/resource/Halloween> <http://dbpedia.org/property/date> ?date }
80,Which beer originated in Ireland?,http://dbpedia.org/resource/Guinness,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Beer> ; <http://dbpedia.org/ontology/origin> <http://dbpedia.org/resource/Beer_in_Ireland> },SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Beer> ; dbo:origin <http://dbpedia.org/resource/Beer_in_Ireland> }
81,To which countries does the Himalayan mountain system extend?,http://dbpedia.org/resource/Bhutan,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> dbo:country ?uri }
82,Which actors were born in Germany?,http://dbpedia.org/resource/Susan_Wayland,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> } UNION { ?uri <http://dbpedia.org/ontology/birthPlace> ?place . ?place <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> } },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Actor { ?uri dbo:birthPlace> <http://dbpedia.org/resource/Germany> } UNION { ?uri dbo:birthPlace> ?place . ?place dbo:country> <http://dbpedia.org/resource/Germany> } }
83,How much carbs does peanut butter have?,20.0,SELECT DISTINCT ?carbs WHERE { <http://dbpedia.org/resource/Peanut_butter> <http://dbpedia.org/property/carbs> ?carbs },SELECT DISTINCT ?carbs WHERE { <http://dbpedia.org/resource/Peanut_butter> dbp:carbs ?carbs }
84,Who produced the most films?,http://dbpedia.org/resource/Adolph_Zukor,SELECT DISTINCT ?uri WHERE { ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/producer> ?uri . } ORDER BY DESC(COUNT(?film)) OFFSET 0 LIMIT 1,SELECT DISTINCT ?uri WHERE { ?film rdf:type <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/producer> ?uri . } ORDER BY DESC(COUNT(?film)) OFFSET 0 LIMIT 1
85,How many employees does Google have?,57100,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/numberOfEmployees> ?num },SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Google> dbo:numberOfEmployees ?num }
86,Give me all actors who were born in Berlin.,http://dbpedia.org/resource/Dru_Berrymore,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Actor ; dbo:birthPlace> <http://dbpedia.org/resource/Berlin> }
87,Who created Goofy?,http://dbpedia.org/resource/Frank_Webb_(cartoonist),SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goofy> <http://dbpedia.org/ontology/creator> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Goofy> dbo:creator ?uri }
88,Which music albums contain the song Last Christmas?,http://dbpedia.org/resource/Classic_Christmas_(Joe_McElderry_album),"SELECT DISTINCT ?uri WHERE { ?single <http://dbpedia.org/ontology/album> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> ""Last Christmas""@en }","SELECT DISTINCT ?uri WHERE { ?single dbo:album ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> ""Last Christmas""@en }"
89,When was Alberta admitted as province?,1905-09-01,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Alberta> <http://dbpedia.org/property/admittancedate> ?date },SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Alberta> dbp:admittancedate ?date }
90,How many missions does the Soyuz programme have?,139,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/property/programme> <http://dbpedia.org/resource/Soyuz_programme> },SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri dbp:programme <http://dbpedia.org/resource/Soyuz_programme> }
91,Give me all the TV shows with Neil Patrick Harris.,http://dbpedia.org/resource/Capitol_Critters,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/TelevisionShow> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Neil_Patrick_Harris> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:TelevisionShow ; dbo:starring> <http://dbpedia.org/resource/Neil_Patrick_Harris> }
92,When were the Hells Angels founded?,1948-03-17,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Hells_Angels> <http://dbpedia.org/property/founded> ?date },SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Hells_Angels> dbp:founded ?date }
93,What is the net income of Apple?,5.3394E10,SELECT DISTINCT ?ni WHERE { <http://dbpedia.org/resource/Apple_Inc.> <http://dbpedia.org/ontology/netIncome> ?ni },SELECT DISTINCT ?ni WHERE { <http://dbpedia.org/resource/Apple_Inc.> dbo:netIncome ?ni }
94,Give me all Swedish holidays.,http://dbpedia.org/resource/Gustavus_Adolphus_Day,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Holiday> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Sweden> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Holiday ; dbo:country> <http://dbpedia.org/resource/Sweden> }
95,In which city was the former Dutch queen Juliana buried?,http://dbpedia.org/resource/Delft,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/burialPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Settlement> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/burialPlace> ?uri . ?uri a dbo:Settlement }
96,List all the musicals with music by Leonard Bernstein.,http://dbpedia.org/resource/Wonderful_Town,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Musical> ; <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Leonard_Bernstein> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Musical ; dbo:musicBy> <http://dbpedia.org/resource/Leonard_Bernstein> }
97,Give me all companies in the advertising industry.,307,"SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Company> { ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Advertising> } UNION { ?uri <http://dbpedia.org/ontology/industry> ?industry FILTER regex(?industry, ""advertising"", ""i"") } }","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a dbo:Company { ?uri dbo:industry> <http://dbpedia.org/resource/Advertising> } UNION { ?uri dbo:industry> ?industry FILTER regex(?industry, ""advertising"", ""i"") } }"
98,What is the largest metropolitan area in Washington state?,"http://dbpedia.org/resource/Seattle-Tacoma-Olympia,_WA_CSA",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Washington_(state)> <http://dbpedia.org/property/largestmetro> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Washington_(state)> dbp:largestmetro ?uri }
99,Who killed John Lennon?,http://dbpedia.org/resource/Mark_David_Chapman,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/property/conviction> <http://dbpedia.org/resource/Death_of_John_Lennon> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Person ; <http://dbpedia.org/property/conviction> <http://dbpedia.org/resource/Death_of_John_Lennon> }
100,Which writers studied in Istanbul?,http://dbpedia.org/resource/Niyazi_Berkes,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Writer> { ?uri <http://dbpedia.org/ontology/almaMater> ?x } UNION { ?uri <http://dbpedia.org/ontology/education> ?x } { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Istanbul> } UNION { ?x <http://dbpedia.org/property/city> <http://dbpedia.org/resource/Istanbul> } },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Writer { ?uri dbo:almaMater> ?x } UNION { ?uri dbo:education> ?x } { ?x dbo:city> <http://dbpedia.org/resource/Istanbul> } UNION { ?x <http://dbpedia.org/property/city> <http://dbpedia.org/resource/Istanbul> } }
101,Give me all Australian metalcore bands.,http://dbpedia.org/resource/Capture_the_Crown,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> ; <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Band ; dbo:genre> <http://dbpedia.org/resource/Metalcore> { ?uri dbo:hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri dbo:hometown> ?h . ?h dbo:country> <http://dbpedia.org/resource/Australia> } }
102,Which countries adopted the Euro?,http://dbpedia.org/resource/Basque_Country_(greater_region),"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Euro> } UNION { ?uri <http://dbpedia.org/property/currencyCode> ""EUR""@en } }","SELECT DISTINCT ?uri WHERE { ?uri a dbo:Country { ?uri dbo:currency> <http://dbpedia.org/resource/Euro> } UNION { ?uri <http://dbpedia.org/property/currencyCode> ""EUR""@en } }"
103,Give me all types of eating disorders.,http://dbpedia.org/resource/Ingestive_behaviors,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/class/yago/WikicatEatingDisorders> },SELECT DISTINCT ?uri WHERE { ?uri a yago:WikicatEatingDisorders }
104,Was Marc Chagall a jew?,False,"ASK WHERE { <http://dbpedia.org/resource/Marc_Chagall> <http://dbpedia.org/property/ethnicity> ""Jewish""@en }","ASK WHERE { <http://dbpedia.org/resource/Marc_Chagall> dbp:ethnicity ""Jewish""@en }"
105,What was Brazil's lowest rank in the FIFA World Ranking?,22,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Brazil_national_football_team> <http://dbpedia.org/property/fifaMin> ?n },SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Brazil_national_football_team> dbp:fifaMin ?n }
106,How many films did Leonardo DiCaprio star in?,27,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Leonardo_DiCaprio> },SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a dbo:Film ; dbo:starring> <http://dbpedia.org/resource/Leonardo_DiCaprio> }
107,Was Margaret Thatcher a chemist?,True,ASK WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Chemist> },ASK WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> dbo:profession <http://dbpedia.org/resource/Chemist> }
108,Which U.S. states are in the same time zone as Utah?,http://dbpedia.org/resource/Nebraska,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Utah> <http://dbpedia.org/property/timezone> ?x . ?uri a <http://dbpedia.org/class/yago/WikicatStatesOfTheUnitedStates> ; <http://dbpedia.org/property/timezone> ?x FILTER ( ?uri != <http://dbpedia.org/resource/Utah> ) },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Utah> dbp:timezone ?x . ?uri a <http://dbpedia.org/class/yago/WikicatStatesOfTheUnitedStates> ; dbp:timezone> ?x FILTER ( ?uri != <http://dbpedia.org/resource/Utah> ) }
109,Give me all books written by Danielle Steel.,http://dbpedia.org/resource/Thurston_House_(novel),SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Book> ; <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Danielle_Steel> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Book ; dbo:author> <http://dbpedia.org/resource/Danielle_Steel> }
110,Which country has the most official languages?,http://dbpedia.org/resource/Sark,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/property/officialLanguages> ?language . } ORDER BY DESC(COUNT(?language)) OFFSET 0 LIMIT 1,SELECT DISTINCT ?uri WHERE { ?uri rdf:type <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/property/officialLanguages> ?language . } ORDER BY DESC(COUNT(?language)) OFFSET 0 LIMIT 1
111,What is the total amount of men and women serving in the FDNY?,15629,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/New_York_City_Fire_Department> <http://dbpedia.org/property/employees> ?num },SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/New_York_City_Fire_Department> dbp:employees ?num }
112,Which actor played Chewbacca?,http://dbpedia.org/resource/Joonas_Suotamo,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chewbacca> <http://dbpedia.org/ontology/portrayer> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chewbacca> dbo:portrayer ?uri }
113,Give me all libraries established earlier than 1400.,http://dbpedia.org/resource/Nanpura_Parsi_Library,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Library> ; <http://dbpedia.org/property/established> ?year FILTER ( ?year < 1400 ) },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Library ; <http://dbpedia.org/property/established> ?year FILTER ( ?year < 1400 ) }
114,Which programming languages were influenced by Perl?,http://dbpedia.org/resource/Perl_Data_Language,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/ProgrammingLanguage> { ?uri <http://dbpedia.org/ontology/influencedBy> <http://dbpedia.org/resource/Perl> } UNION { <http://dbpedia.org/resource/Perl> <http://dbpedia.org/ontology/influenced> ?uri } },SELECT DISTINCT ?uri WHERE { ?uri a dbo:ProgrammingLanguage { ?uri dbo:influencedBy> <http://dbpedia.org/resource/Perl> } UNION { <http://dbpedia.org/resource/Perl> dbo:influenced> ?uri } }
115,In which U.S. state is Mount McKinley located?,http://dbpedia.org/resource/Alaska,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mount_McKinley> dbo:wikiPageRedirects ?x . ?x <http://dbpedia.org/ontology/locatedInArea> ?uri. ?uri rdf:type yago:WikicatStatesOfTheUnitedStates },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mount_McKinley> dbo:wikiPageRedirects ?x . ?x dbo:locatedInArea ?uri. ?uri rdf:type yago:WikicatStatesOfTheUnitedStates }
116,What airlines are part of the SkyTeam alliance?,http://dbpedia.org/resource/CityJet,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Airline> { ?uri <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/SkyTeam> } UNION { ?uri <http://dbpedia.org/ontology/Alliance> <http://dbpedia.org/resource/SkyTeam> } },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Airline { ?uri dbo:alliance> <http://dbpedia.org/resource/SkyTeam> } UNION { ?uri dbo:Alliance> <http://dbpedia.org/resource/SkyTeam> } }
117,Which ships were called after Benjamin Franklin?,http://dbpedia.org/resource/HMS_Canopus_(1798),SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/shipNamesake> <http://dbpedia.org/resource/Benjamin_Franklin> },SELECT DISTINCT ?uri WHERE { ?uri dbp:shipNamesake <http://dbpedia.org/resource/Benjamin_Franklin> }
118,Give me all Methodist politicians.,"http://dbpedia.org/resource/Charles_S._Chestnut,_IV",SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Politician> ; <http://dbpedia.org/ontology/religion> <http://dbpedia.org/resource/Methodism> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Politician ; dbo:religion> <http://dbpedia.org/resource/Methodism> }
119,What other books have been written by the author of The Fault in Our Stars?,"http://dbpedia.org/resource/Will_Grayson,_Will_Grayson",PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?books WHERE { ?books dbo:author <http://dbpedia.org/resource/John_Green_(author)> },SELECT ?books WHERE { ?books dbo:author dbr:John_Green_(author) }
120,What is the highest mountain?,http://dbpedia.org/resource/Kings_Peak_(Idaho),SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> ; <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1,SELECT DISTINCT ?uri WHERE { ?uri a dbo:Mountain ; dbo:elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1
121,Which poet wrote the most books?,http://dbpedia.org/resource/Jules_Verne,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Poet> . ?x <http://dbpedia.org/ontology/author> ?uri . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . } ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Poet> . ?x <http://dbpedia.org/ontology/author> ?uri . ?x rdf:type <http://dbpedia.org/ontology/Book> . } ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1
122,Which programming languages influenced Javascript?,http://dbpedia.org/resource/Self_(programming_language),SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/ProgrammingLanguage> ; <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/JavaScript> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:ProgrammingLanguage ; dbo:influenced> <http://dbpedia.org/resource/JavaScript> }
123,Which musician wrote the most books?,http://dbpedia.org/resource/Jo_Nesbø,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Musician> . ?x <http://dbpedia.org/ontology/author> ?uri . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . } ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Musician> . ?x <http://dbpedia.org/ontology/author> ?uri . ?x rdf:type <http://dbpedia.org/ontology/Book> . } ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1
124,Which films starring Clint Eastwood did he direct himself?,http://dbpedia.org/resource/Play_Misty_for_Me,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Clint_Eastwood> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Clint_Eastwood> },SELECT DISTINCT ?uri WHERE { ?uri dbo:director <http://dbpedia.org/resource/Clint_Eastwood> ; dbo:starring> <http://dbpedia.org/resource/Clint_Eastwood> }
125,Which software has been developed by organizations founded in California?,http://dbpedia.org/resource/Autodesk_Animator,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Software> . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> },SELECT DISTINCT ?uri WHERE { ?uri a dbo:Software . ?company a dbo:Company> . ?uri dbo:developer> ?company . ?company dbo:foundationPlace> <http://dbpedia.org/resource/California> }
126,Which instruments does Cat Stevens play?,http://dbpedia.org/resource/Baldwin_Piano_Company,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cat_Stevens> <http://dbpedia.org/ontology/instrument> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cat_Stevens> dbo:instrument ?uri }
